client_id,age,wealth,risk_preference,rho,raw_text,model_alpha,naive_alpha,model_lifecycle_utility,model_simulated_crra_utility,naive_simulated_crra_utility,utility_lift,model_failure_probability_pct,naive_failure_probability_pct,failure_probability_lift_pct,model_max_drawdown_pct,naive_max_drawdown_pct,max_drawdown_lift_pct,model_volatility_pct,naive_volatility_pct,volatility_lift_pct,model_avg_terminal_wealth,naive_avg_terminal_wealth,terminal_wealth_lift
1,47,6.67,aggressive,6,"47 years old, wealth=6.67, aggressive",0.8109739938362193,0.6,1.308649189821543,-2091295029587.5312,-1476312522301.7605,-614982507285.7708,40.8,36.4,4.399999999999999,-37.721386478217504,-27.202666103153316,-10.518720375064188,12.232067172258319,9.060896125986801,3.1711710462715175,3.5654513672870203,2.6523478001144616,0.9131035671725587
2,36,8.35,conservative,10,"36 years old, wealth=8.35, conservative",0.4227587134533245,0.6,1.0304163995043558,-3.4264518704886415e+19,-2.1018478689125187e+32,2.101847868912176e+32,31.8,36.8,-4.9999999999999964,-17.486658676430547,-26.642397489734783,9.155738813304236,6.339209175164023,8.995618315004766,-2.6564091398407426,2.3503100670449752,3.3934848456096294,-1.0431747785646541
3,64,16.11,aggressive,6,"64 years old, wealth=16.11, aggressive",0.4930548049731689,0.6,2.862156315904142,-163944647.51837322,-1366726494.77421,1202781847.2558367,33.9,34.8,-0.8999999999999986,-21.039783811360117,-26.40968480759783,5.369900996237714,7.3762494128036895,8.974922097217352,-1.5986726844136623,5.300203689370443,6.375006188629885,-1.0748024992594418
4,32,13.86,conservative,10,"32 years old, wealth=13.86, conservative",0.31578947,0.6,1.2438969225584027,-8.372203248700108e+32,-1.9153235354884108e+27,-8.372184095464753e+32,26.2,35.1,-8.900000000000002,-11.938593315761294,-26.96523883800456,15.026645522243266,4.729116368779959,8.987829007956947,-4.258712639176988,2.9706915908106653,5.349244498482527,-2.3785529076718617
5,44,6.41,conservative,10,"44 years old, wealth=6.41, conservative",0.45349766006490705,0.6,1.0220276317032682,-3.7587423696544167e+24,-2.454945439686383e+24,-1.3037969299680338e+24,29.8,33.3,-3.4999999999999964,-19.239642478374634,-26.77494754484739,7.535305066472755,6.797499176727914,9.001000363835107,-2.203501187107193,1.9852847320331775,2.567843220156221,-0.5825584881230437
6,65,14.03,aggressive,6,"65 years old, wealth=14.03, aggressive",0.5363765747606628,0.6,2.780015971239562,-47464689556.881775,-29210616872.766827,-18254072684.11495,34.4,33.7,0.6999999999999957,-23.554113602692617,-26.86877323402548,3.3146596313328622,8.043995944079924,8.995293313380639,-0.9512973693007147,5.091397303284641,5.815246946368862,-0.723849643084221
7,64,15.74,conservative,10,"64 years old, wealth=15.74, conservative",0.3293279056647991,0.6,2.526739360084819,-9.816455486758613e+16,-3.2449928481949456e+38,3.2449928481949456e+38,27.5,38.4,-10.899999999999999,-12.930082074689476,-27.275274790460603,14.345192715771127,4.960688622226008,9.039685409664965,-4.078996787438958,3.6053178719764705,6.519676226288889,-2.914358354312419
8,47,8.31,balanced,8,"47 years old, wealth=8.31, balanced",0.5314117598583656,0.6,1.2661797543708029,-6.3792658979990634e+19,-3.781098663264372e+17,-6.34145491136642e+19,31.2,33.0,-1.8000000000000007,-23.4411976067719,-26.880899307749708,3.439701700977807,7.943286010069822,8.96048359030879,-1.0171975802389683,2.9567698067780896,3.353063556577433,-0.3962937497993435
9,40,16.38,conservative,10,"40 years old, wealth=16.38, conservative",0.27003143800518464,0.6,1.4132715382163612,-2.4333648213299036e+23,-6.962497640314695e+27,6.962254303832562e+27,25.8,36.7,-10.900000000000002,-9.572474709465224,-26.906575005003543,17.33410029553832,4.062417536236642,9.012594604881093,-4.950177068644451,3.138769270391213,6.293191035123122,-3.1544217647319095
10,47,11.34,aggressive,6,"47 years old, wealth=11.34, aggressive",0.6076418762889901,0.6,1.5591503596352465,-8687996475282.536,-60012860273795.96,51324863798513.42,35.6,36.0,-0.3999999999999986,-27.39923571814874,-26.917932128307847,-0.48130358984089483,9.16105862277342,9.046267460488744,0.1147911622846749,4.488246545687392,4.471461867910803,0.016784677776588985
11,51,8.23,conservative,10,"51 years old, wealth=8.23, conservative",0.37688462576179904,0.6,1.2804441719273187,-4.3914492324590435e+22,-4.86112851137964e+21,-3.905336381321079e+22,28.0,35.2,-7.200000000000003,-15.212128122252246,-26.7891273125227,11.576999190270456,5.650225796639425,8.993178217078606,-3.3429524204391807,2.063055996927431,3.4385876637271244,-1.3755316667996933
